Book title,Book Author
The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,Greg Lukianoff & Jonathan Haidt
Knowledge and Passion: Ilongot Notions of Self & Social Life,Michelle Z. Rosaldo
The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt
The Black Swan: Second Edition: The Impact of the Highly Improbable,Nassim Nicholas Taleb
Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb
"iGen: Why Today’s Super-Connected Kids Are Growing Up Less Rebellious, More Tolerant, Less Happy–and Completely Unprepared for Adulthood","Jean M. Twenge, PhD"
On Liberty,John Stuart Mill
All Minus One: John Stuart Mill’s Ideas on Free Speech Illustratededited ,Richard V. Reeves & Jonathan Haidt[free PDF download]
Guns N’ Roses books,
Nigger: An Autobiography,Dick Gregory
untitled new book,Gad Saad
"Thinking, Fast and Slow",Daniel Kahneman
Freeing David McCallum: The Last Miracle of Rubin “Hurricane” Carter,Ken Klonsky
Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb
On Writing: A Memoir on the Craft,Stephen King
Brave New World,Aldous Huxley
Lord of the Flies,William Goldling
Animal Farm,George Orwell
The Giver,Lois Lowry
The Emperor’s New Mind,Roger Penrose
"Other Minds: The Octopus, the Sea, and the Deep Origins of Consciousness",Peter Godfrey-Smith
books ,Roger Penrose
The Omnivore’s Dilemma: A Natural History of Four Meals,Michael Pollan
"Network Propaganda: Manipulation, Disinformation, and Radicalization in American Politics","Yochai Benkler, Robert Faris & Hal Roberts"
"Cyberwar: How Russian Hackers and Trolls Helped Elect a President What We Don’t, Can’t, and Do Know",Kathleen Hall Jamieson
Mind Over Back Pain: A Radically New Approach to the Diagnosis and Treatment of Back Pain,"John Sarno, MD"
Healing Back Pain: The Mind-Body Connection,"John E. Sarno, MD"
Health and Healing,"Andrew Weil, MD"
Spontaneous Happiness: A New Path to Emotional Well-Being,"Andrew Weil, MD"
The Natural Mind: A Revolutionary Approach to the Drug Problem,"Andrew Weil, MD"
DMT: The Spirit Molecule,Rick Strassman
Can’t Hurt Me: Master Your Mind and Defy the Odds,David Goggins
The Talent Quest,Brooke James & Yves Edwards
Solaris,Stanislaw Lem
The Transparent Society: Will Technology Force Us To Choose Between Privacy And Freedom?,David Brin
The Phenomenon of Science: A Cybernetic Approach to Human Evolution,Valentin Turchin
The Prometheus Project: Mankind’s Search for Long-Range Goals,Gerald Feinberg
A Fire Upon The Deep,Vernor Vinge
The Singularity Is Near: When Humans Transcend Biology,Ray Kurzweil
"The Invisible Landscape: Mind, Hallucinogens, and the I Ching",Terence McKenna & Dennis McKenna
True Hallucinations: Being an Account of the Author’s Extraordinary Adventures in the Devil’s Paradise,Terence McKenna
Crime and Punishment,Fyodor Dostoyevsky
The Bible,
books ,Jordan Peterson
Permanently Suspended: The Rise and Fall… and Rise Again of Radio’s Most Notorious Shock Jock,Anthony Cumia
1984,George Orwell
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson
The Adventures of Pinocchio,C Collodi
The Bible,
Notes from Underground,Fyodor Dostoyevsky
Brave New World,Aldous Huxley
The Gulag Archipelagoby Aleksandr Solzhenitsyn with a foreword ,Jordan Peterson
Island,Aldous Huxley
Enter Talking,Joan Rivers
Ladies and Gentlemen Lenny Bruce!!,Albert Goldman & Lawrence Schiller
The Man in the High Castle,Philip K. Dick
A Scanner Darkly,Philip K. Dick
Adjustment Team,Philip K. Dick
books about Enron,
The Big Short: Inside the Doomsday Machine,Michael Lewis
The Bible,
"Republic, Lost: How Money Corrupts Congress – and a Plan to Stop It",Lawrence Lessig
The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann
"The Social Leap: The New Evolutionary Science of Who We Are, Where We Come From, and What Makes Us Happy",William von Hippel
Them and Us: How Neanderthal Predation Created Modern Humans,Danny Vendramini
The MeatEater Fish and Game Cookbook: Recipes and Techniques for Every Hunter and Angler,Steven Rinella
American Buffalo: In Search of a Lost Icon,Steven Rinella
"The Complete Guide to Hunting, Butchering, and Cooking Wild Game: Volume 1: Big Game",Steven Rinella
"The Complete Guide to Hunting, Butchering, and Cooking Wild Game: Volume 2: Small Game and Fowl",Steven Rinella
No Country For Old Men,Cormac McCarthy
"The Social Leap: The New Evolutionary Science of Who We Are, Where We Come From, and What Makes Us Happy",William von Hippel
The Greatest Story Ever Told–So Far: Why Are We Here?,Lawrence M. Krauss
The Bible (Ecclesiastes),
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson
Joe Beef: Surviving The Apocolypse – Another Cookbook of Sorts,David McMillan & Frederic Morin
The Big Oyster: History on the Half Shell,Mark Kurlansky
Ship to Shore: Straight Talk from the Seafood Counter,John Bil
The Art of Living According to Joe Beef: A Cookbook of Sorts,David McMillan & Frederic Morin
Tribe: On Homecoming and Belonging,Sebastian Junger
"The Social Leap: The New Evolutionary Science of Who We Are, Where We Come From, and What Makes Us Happy",William von Hippel
"Sex at Dawn: How We Mate, Why We Stray, and What It Means for Modern Relationships",Christopher Ryan & Cacilda Jetha
Catching Fire: How Cooking Made Us Human,Richard Wrangham
Food of the Gods,Terence McKenna
Blueprint: How DNA Makes Us Who We Are,Robert Plomin
The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker
Self-Reliance,Ralph Waldo Emerson
Meditations,Marcus Aurelius
The Art of War,Sun Tzu
Racing to the Finish: My Story,Dale Earnhardt Jr. with Ryan McGee
Outliers: The Story of Success,Malcolm Gladwell
Burn My Shadow: A Selective Memory of an X-Rated Life,Tyler Knight
Happy: Why More or Less Everything Is Fine,Derren Brown
The Secret,Rhonda Byrne
The Course of Love: A Novel,Alain de Botton
The Spell of the Sensuous: Perception and Language in a More-Than-Human World,David Abram
books about Stoicism,"Marcus Aurelius, Seneca, Epictetus"
books ,Martha C. Nussbaum
"The Final Days: The Last, Desperate Abuses of Power by the Clinton White House",Barbara Olson
Pow Wow Chow,
The New Right: A Journey to the Fringe of American Politics,Michael Malice
Outliers: The Story of Success,Malcolm Gladwell
Mein Kampf,Adolf Hitler
Racing to the Finish: My Story,Dale Earnhardt Jr. with Ryan McGee
Pippi Longstocking,Astrid Lindgren
"Sex at Dawn: How We Mate, Why We Stray, and What It Means for Modern Relationships",Christopher Ryan & Cacilda Jetha
books ,Whitley Strieber
books ,Anne Rice
Fifty Shades of Grey,E L James
Exit To Eden,Anne Rampling
Discipline & Punish: The Birth of the Prison,Michel Foucault
The Primal Blueprint,Mark Sisson
books ,Stedman Graham
books ,Terence McKenna
Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith
Pride and Prejudice and Zombies,Jane Austen & Seth Grahame-Smith
The Great Gatsby,F. Scott Fitzgerald
Mein Kampf,Adolf Hitler
The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,Greg Lukianoff & Jonathan Haidt
On Liberty,John Stuart Mill
Dianetics: The Modern Science Of Mental Health,L. Ron Hubbard
Outliers: The Story of Success,Malcolm Gladwell
Life,Keith Richards
It,Stephen King
On Writing: A Memoir of the Craft,Stephen King
Carrie,Stephen King
Cujo,Stephen King
Pet Sematary,Stephen King
The Silence of the Lambs,Thomas Harris
The Exorcist,William Peter Blatty
The Bible,
LAbyrinth,Randall Sullivan
Kettlebell Simple & Sinister,Pavel Tsatsouline
The Dolce Diet: Living Lean,Mike Dolce
Queen Maud Land Antarctica,Ivar Erik Tollefsen
Speed Climbing! How to Climb Faster and Better,Hans Florine & Bill Wright
Built to Last: Successful Habits of Visionary Companies,Jim Collins & Jerry I Porras
Alone on the Wall,Alex Honnold
The Stand,Stephen King
On Writing: A Memoir of the Craft,Stephen King
The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,Steven Pressfield
Machines Who Think: A Personal Inquiry into the History and Prospects of Artificial Intelligence,Pamela McCorduck
books ,Albert Camus
books ,Friedrich Nietzsche
books ,Fyodor Dostoevsky
The Lord of the Rings,J.R.R. Tolkien
Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark
Walden,Henry David Thoreau
The Fountainhead,Ayn Rand
books ,Stephen King
The Bible,
Victim to Victor: How to Overcome the Victim Mentality to Live the Life You Love,Nick Santonastasso
Hacks: The Inside Story of the Break-ins and Breakdowns That Put Donald Trump in the White House,Donna Brazile
books ,Chuck Palahniuk
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan
If I Did It: Confessions of the Killer,O.J. Simpson
books ,L. Ron Hubbard
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright
The MeatEater Fish and Game Cookbook: Recipes and Techniques for Every Hunter and Angler,Steven Rinella
The Bible,
The Road,Cormac McCarthy
The Art of Living and Dying,Osho
books ,Jim Norton
The End of Alzheimer’s: The First Program to Prevent and Reverse Cognitive Decline,"Dale E. Bredesen, MD"
Batman: Damned #1,Brian Azzarello
Fat Loss Forever: How To Lose Fat and Keep It Off,"Layne Norton, PhD & Peter Baker"
The Complete Contest Prep Guide,"Layne Norton, PhD & Peter Baker"
The Complete Book of Ketones: A Practical Guide to Ketogenic Diets and Ketone Supplements,"Mary T. Newport, MD"
"Glow15: A Science-Based Plan to Lose Weight, Revitalize Your Skin, and Invigorate Your Life",Naomi Whittel
books ,"Joel K. Kahn, MD"
Unconventional Medicine,Chris Kresser
The Paleo Diet: Lose Weight and Get Healthy by Eating the Foods You Were Designed to Eat,"Loren Cordain, PhD"
The Paleo Cure,Chris Kresser
"Eat, Drink, and Be Healthy: The Harvard Medical School Guide to Healthy Eating","Walter Willett, MD"
The Bible (New Testament),
Fibre Man: The Life-story of Dr.Denis Burkitt,Brian Kellock
"The Spectrum: A Scientifically Proven Program to Feel Better, Live Longer, Lose Weight, and Gain Health","Dean Ornish, MD"
Atlas: From the Streets to the Ring: A Son’s Struggle to Become a Man,Teddy Atlas & Peter Alson
books ,Franz Kafka
books ,J.D. Salinger
books ,Friedrich Nietzsche
"The Divine Comedy (The Inferno, The Purgatorio, and The Paradiso)",Dante Alighieri
The Bourgeois Virtues: Ethics for an Age of Commerce,Deirdre N. McCloskey
Feminist Baby Finds Her Voice!,Loryn Brantz
books ,Geoffrey Miller
Ethical Porn for Dicks: A Man’s Guide to Responsible Viewing Pleasure,"David J. Ley, PhD"
"The Technology of Orgasm: “Hysteria,” the Vibrator, and Women’s Sexual Satisfaction",Rachel P. Maines
"Sperm Wars: Infidelity, Sexual Conflict, and Other Bedroom Battles",Robin Baker
The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt
Mate: Become the Man Women Want,"Tucker Max & Geoffrey Miller, PhD"
"Sex at Dawn: How We Mate, Why We Stray, and What It Means for Modern Relationships",Christopher Ryan & Cacilda Jetha
"The Ethical Slut: A Practical Guide to Polyamory, Open Relationships, and Other Freedoms in Sex and Love",Janet W. Hardy & Dossie Easton
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain
books ,Steven Rinella
Monsters & Madmen: A Death Row Experiment,Nick Yarris
7 Days to Live,Nick Yarris
The Prophet,Kahlil Gibran
The Man Who Would Be King,Rudyard Kipling
The Trials of Walter Ogrod,Thomas Lowenstein
The Fear of 13: Countdown to Execution: My Fight for Survival on Death Row,Nick Yarris
The Kindness Approach,Nick Yarris
My Journey Through Her Eyes,Nick Yarris
Hacks: The Inside Story of the Break-ins and Breakdowns That Put Donald Trump in the White House,Donna Brazile
The Bible,
The Hero’s Journey: Joseph Campbell on His Life and Work,Joseph Campbell
Positively Unstoppable: The Art of Owning It by Diamond Dallas Page,Diamond Dallas Page
"Clean Comfort: Finding Peace, Balance and My Perfect Weight",Stacey Morris
Yoga for Regular Guys: The Best Damn Workout on the Planet!,Diamond Dallas Page
Positively Page: The Diamond Dallas Page Journey,Diamond Dallas Page
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright
Dianetics: The Modern Science Of Mental Health,L. Ron Hubbard
The Art of Living and Dying,Osho
Your Dad Stole My Rake: And Other Family Dilemmas,Tom Papa
The Fat of the Land,Vilhjalmur Stefansson
books ,Dr. Seuss
The Truth About Uri Geller,James Randi
Psychophysiological Thought Reading,Banachek
The Bible,
Taming the Poltergeist,Berthold E. Schwarz
Mental Radioby Upton Sinclair (foreword ,Albert Einstein)
Sherlock Holmes books,Sir Arthur Conan Doyle
The Playboy Interviews: They Played The Game,The Editors of Playboy Magazine
books ,Hank Shaw
Carrying the Fire: An Astronaut’s Journeys,Michael Collins
Best Evidence,David S. Lifton
Astrophysics for People in a Hurry,Neil deGrasse Tyson
Accessory to War: The Unspoken Alliance Between Astrophysics and the Military,Neil deGrasse Tyson & Avis Lang
The Torah,
Stonehenge Decoded,Gerald S. Hawkins
The Talent Code: Greatness Isn’t Born. It’s Grown. Here’s How.,Daniel Coyle
The Martian,Andy Weir
Turning Oil Into Salt: Energy Independence Through Fuel Choice,Anne Korin & Gal Luft
Fight Club,Chuck Palahniuk
The Joy Luck Club,Amy Tan
How to Make an American Quilt,Whitney Otto
The Sisterhood of the Traveling Pants,Ann Brashares
Dead Poets Society,N. H. Kleinbaum
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed
Haunted,Chuck Palahniuk
Choke,Chuck Palahniuk
On The Road,Jack Kerouac
Heartburn,Nora Ephron
The Godfather,Mario Puzo
books ,Edward Gorey
Survivor,Chuck Palahniuk
Tribe: On Homecoming and Belonging,Sebastian Junger
Fight Club 3,Chuck Palahniuk
A Polaroid Guy in a Snapchat World,David Spade
The Martian,Andy Weir
books ,Anna Politkovskaya
True Story: A Novel,Bill Maher
books ,Nick Cave
books ,Henry Rollins
Occupants,Henry Rollins
The Portable Henry Rollins,Henry Rollins
Blood Meridian: Or the Evening Redness in the West,Cormac McCarthy
Get In The Van: On The Road With Black Flag,Henry Rollins
A Dull Roar: What I Did on My Summer Deracination 2006,Henry Rollins
Ladies and Gentlemen Lenny Bruce!!,Albert Goldman & Lawrence Schiller
The Complete Idiot’s Guide to the U.S. Constitution,Timothy Harper
The Bible,
books ,Anna Politkovskaya
The Shining,Stephen King
The Dark Tower series,Stephen King
The Stand,Stephen King
Think and Grow Rich,Napoleon Hill
"Meat Is for Pussies: A How-to Guide for Dudes Who Want to Get Fit, Kick Ass, and Take Names",John Joseph
The Evolution of a Cro-Magnon,John Joseph
"Story: Substance, Structure, Style and the Principles of Screenwriting",Robert McKee
The Vedas,
The Bhagavad Gita,Eknath Easwaran (Translator)
Bhagavad-Gita As It Is,A. C. Bhaktivedanta Swami Prabhupada
Srimad Bhagavatam,Swami Prabhavananda (Translator)
books ,G. I. Gurdjieff
books ,Jiddu Krishnamurti
books ,Ram Dass
The Science of Self-Realization,A. C. Bhaktivedanta Swami Prabhupada
Sri Brahma Samhita,
You’ll Never Eat Lunch in This Town Again,Julia Phillips
The PMA Effect,John Joseph
The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,Steven Pressfield
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz
Dharma Punx,Noah Levine
Hacks: The Inside Story of the Break-ins and Breakdowns That Put Donald Trump in the White House,Donna Brazile
The Strange Death of Vincent Foster: An Investigation,Christopher Ruddy
Confessions of an Rx Drug Pusher,Gwen Olsen
Best Evidence,David S. Lifton
The Problem of China,Bertrand Russell
"She Has Her Mother’s Laugh: The Powers, Perversions, and Potential of Heredity",Carl Zimmer
Something Deeply Hidden: Quantum Worlds and the Emergence of Spacetime,Sean Carroll
Hacks: The Inside Story of the Break-ins and Breakdowns That Put Donald Trump in the White House,Donna Brazile
The Bible,
"The Big Picture: On the Origins of Life, Meaning, and the Universe Itself",Sean Carroll
"Me, Myself, and Why: Searching for the Science of Self",Jennifer Ouellette
The Particle at the End of the Universe: How the Hunt for the Higgs Boson Leads Us to the Edge of a New World,Sean Carroll
Leonardo da Vinci,Walter Isaacson
The Rock Says…,The Rock with Joe Layden
Comedy Writing Step by Step,Gene Perret
The Desert and the Sea: 977 Days Captive on the Somali Pirate Coast,Michael Scott Moore
"Sweetness and Blood: How Surfing Spread from Hawaii and California to the Rest of the World, with Some Unexpected Results",Michael Scott Moore
books ,Jim Norton
Stay Hungry,Sebastian Maniscalco
The Bell Curve: Intelligence and Class Structure in American Life,Richard J. Herrnstein & Charles Murray
The Talent Code: Greatness Isn’t Born. It’s Grown. Here’s How.,Daniel Coyle
1984,George Orwell
Johnny Cash: The Life,Robert Hilburn
Why We Get Fat: And What to Do About It,Gary Taubes
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss
Johnny Cash: The Life,Robert Hilburn
Why We Get Fat: And What to Do About It,Gary Taubes
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss
Crash Proof: How to Profit From the Coming Economic Collapse,Peter D. Schiff with John Downes
The Fatal Shore: The Epic of Australia’s Founding,Robert Hughes
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond
This Is Not Fame: A From What I Re-Memoir,Doug Stanhope
Digging Up Mother: A Love Story,Doug Stanhope
Fun With Pedophiles: The Best of Baiting,Doug Stanhope
The Bhagavad Gita,Eknath Easwaran (Translator)
Brave New World,Aldous Huxley
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson
books ,Friedrich Nietzsche
Maps of Meaning: The Architecture of Belief,Jordan B. Peterson
The Bible (Old Testament),
The Crossing,Cormac McCarthy
Tribe: On Homecoming and Belonging,Sebastian Junger
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson
books ,Zecharia Sitchin
Why We Sleep: Unlocking the Power of Sleep and Dreams,"Matthew Walker, PhD"
The King of Hollywood: A Biography of Clark Gable,Charles Samuels
You’ll Never Eat Lunch in This Town Again,Julia Phillips
Understanding Media: The Extensions of Man,Marshall McLuhan
The Gulag Archipelago,Aleksandr Solzhenitsyn
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson
Maps of Meaning: The Architecture of Belief,Jordan B. Peterson
The Bible,
Why Men Earn More: The Startling Truth Behind the Pay Gap — and What Women Can Do About It,"Warren Farrell, PhD"
The Last of the Mohicans,James Fenimore Cooper
"The Hard Stuff: Dope, Crime, the MC5, and My Life of Impossibilities",Wayne Kramer
Bullshit Jobs: A Theory,David Graeber
The Talmud,
The Fireside Grown-Up Guide to Mindfulness,Jason Hazeley
The Lord of the Rings,J.R.R. Tolkien
The Book of Five Rings,Miyamoto Musashi
books ,Pythagoras
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman
The Sacred Mushroom and the Cross,John Marco Allegro
Hope In Brain Damage,Dr. Ralf Clauss
Shroom: A Cultural History of the Magic Mushroom,Andy Letcher
The Dead Sea Scrolls and the Christian Myth,John Marco Allegro
The Talent Code: Greatness Isn’t Born. It’s Grown. Here’s How.,Daniel Coyle
books ,Rachel Simmons
The Torah,
The Bible,
Your Dad Stole My Rake: And Other Family Dilemmas,Tom Papa
Game of Thrones book series,George R. R. Martin
Letters From Burma,Aung San Suu Kyi
Zen in the Art of Archery,Eugen Herrigel
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell
Sapiens: A Brief History of Human Kind,Yuval Noah Harari
The Talent Code: Greatness Isn’t Born. It’s Grown. Here’s How.,Daniel Coyle
Free Will,Sam Harris
Ethnopharmacologic Search for Psychoactive Drugs (Volumes 1 & 2): 50 Years of Researchedited ,"Dennis McKenna, Sir Ghillean T. Prance, Wade Davis & Benjamin De Leonen"
Brotherhood of the Screaming Abyss: My Life with Terence McKenna,Dennis McKenna
Mystic Chemist: The Life of Albert Hofmann and His Discovery of LSD,Dieter Hagenback & Lucius Werthmüller
Ayahuasca Reader: Encounters with the Amazon’s Sacred Vineedited ,Luis Eduardo Luna & Steven F. White
books ,Don Lattin
Changing Our Minds: Psychedelic Sacraments and the New Psychotherapy,Don Lattin
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan
Ethnopharmacologic Search for Psychoactive Drugs – 1967,Daniel H. Efron
The Teachings of Don Juan: A Yaqui Way of Knowledge Mass Market,Carlos Castaneda
The Psilocybin Solution: The Role of Sacred Mushrooms in the Quest for Meaning,Simon G. Powell
Magic Mushroom Explorer: Psilocybin and the Awakening Earth,Simon G. Powell
Psilocybin: Magic Mushroom Grower’s Guide: A Handbook for Psilocybin Enthusiasts,O. T. Oss & O. N. Oeric
True Hallucinations: Being an Account of the Author’s Extraordinary Adventures in the Devil’s Paradise,Terence McKenna
"The Invisible Landscape: Mind, Hallucinogens, and the I Ching",Terence McKenna & Dennis McKenna
Communion: A True Story,Whitley Strieber
The Super Natural: Why the Unexplained Is Real,Whitley Strieber & Jeffrey J. Kripal
One River,Wade Davis
"The Serpent and the Rainbow: A Harvard Scientist’s Astonishing Journey into the Secret Societies of Haitian Voodoo, Zombis, and Magic",Wade Davis
"Becoming a Supple Leopard: The Ultimate Guide to Resolving Pain, Preventing Injury, and Optimizing Athletic Performance",Kelly Starrett with Glen Cordoza
Money: The Life and Fast Times of Floyd Mayweather,Tris Dixon
The New Power Program: Protocols for Maximum Strength,Michael Colgan
Periodization: Theory and Methodology of Training,Tudor Bompa & Carlo Buzzichelli
Supertraining,Yuri V. Verkhoshansky & Mel C. Siff
books ,Pavel Tsatsouline
books ,Imam Al-Ghazali
Discourse on Method: For Conducting Reason and Seeking the Truth in the Sciences,René Descartes
books ,Stephen King
Free Will,Sam Harris
The Science of Mindfulness,Ronald D. Siegel
Why We Sleep: Unlocking the Power of Sleep and Dreams,"Matthew Walker, PhD"
"Sleep: The Myth of 8 Hours, the Power of Naps, and the New Plan to Recharge Your Body and Mind",Nick Littlehales
Center of the Cyclone: An Autobiography of Inner Space,Dr. John C Lilly
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom
"Own the Day, Own Your Life: Optimized Practices for Waking, Working, Learning, Eating, Training, Playing, Sleeping, and Sex",Aubrey Marcus
Carrie,Stephen King
Christine,Stephen King
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell
On Writing: A Memoir of the Craft,Stephen King
books ,Ted Dekker
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan
"Wired to Eat: Turn Off Cravings, Rewire Your Appetite for Weight Loss, and Determine the Foods That Work for You",Robb Wolf
The Plant Paradox: The Hidden Dangers in Healthy Foods That Cause Disease and Weight Gain,Dr. Steven R Gundry
Discipline Equals Freedom: Field Manual,Jocko Willink
Light of the Stars: Alien Worlds and the Fate of the Earth,Adam Frank
The Expanse book series,James S. A. Corey
Foundation book series,Isaac Asimov
Merchants of Doubt: How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Global Warming,Naomi Oreskes & Erik M. Conway
Aurora,Kim Stanley Robinson
books ,Joseph Campbell
books ,Fyodor Dostoevsky
The Constant Fire: Beyond the Science vs. Religion Debate,Adam Frank
Astronomy: At Play in the Cosmos,Adam Frank
Ready Player One,Ernest Cline
Your Dad Stole My Rake: And Other Family Dilemmas,Tom Papa
The Coloring Book: A Comedian Solves Race Relations in America,Colin Quinn
Maps of Meaning: The Architecture of Belief,Jordan B. Peterson
Adventures of Huckleberry Finn,Mark Twain
"Brother Sam: The Short, Spectacular Life of Sam Kinison",Bill Kinison
Mind Gym: An Athlete’s Guide to Inner Excellence,Gary Mack with David Casstevens
The Book of Five Rings,Miyamoto Musashi
"Sex at Dawn: How We Mate, Why We Stray, and What It Means for Modern Relationships",Christopher Ryan & Cacilda Jetha
The Emperor Wears No Clothes: Hemp and the Marijuana Conspiracy,Jack Herer
Living with a SEAL: 31 Days Training with the Toughest Man on the Planet,Jesse Itzler
"Living with the Monks: What Turning Off My Phone Taught Me about Happiness, Gratitude, and Focus",Jesse Itzler
Living with a SEAL: 31 Days Training with the Toughest Man on the Planet,Jesse Itzler
"Living with the Monks: What Turning Off My Phone Taught Me about Happiness, Gratitude, and Focus",Jesse Itzler
The Art of Raising a Puppy,Monks of New Skete
Fit For Life,Harvey & Marilyn Diamond
books ,Thomas Sowell
The Bible,
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright
"The Strange Death of Europe: Immigration, Identity",Douglas Murray
Serpent in the Sky: The High Wisdom of Ancient Egypt,John Anthony West
The Traveler’s Key to Ancient Egypt: A Guide to Sacred Places,John Anthony West
Voyages of the Pyramid Builders: The True Origins of the Pyramids from Lost Egypt to Ancient America,Robert M. Schoch
Origins of the Sphinx: Celestial Guardian of Pre-Pharaonic Civilization,Robert M. Schoch & Robert Bauval
The History of Alexander,Quintus Curtius Rufus
The Complete Dead Sea Scrolls in English,Geza Vermes
On the Revolutions of Heavenly Spheres,Nicolaus Copernicus
Hollywood Babylon: The Legendary Underground Classic of Hollywood’s Darkest and Best Kept Secrets,Kenneth Anger
Tribe: On Homecoming and Belonging,Sebastian Junger
Presto!: How I Made Over 100 Pounds Disappear and Other Magical Tales,Penn Jillette
The Complete Dead Sea Scrolls in English,Geza Vermes
The Dead Sea Scrolls and the Christian Myth,John Marco Allegro
The Sacred Mushroom and the Cross,John Marco Allegro
The Bible,
The Gnostic Gospels,
The Sandman book series,Neil Gaiman
Never Cry Wolf: Amazing True Story of Life Among Arctic Wolves,Farley Mowat
books ,Jack O’Connor
"Part Reptile: UFC, MMA and Me",Dan Hardy
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan
books ,Paul Stamets
Seven Brief Lessons on Physics,Carlo Rovelli
The Sacred Mushroom and The Cross,John Marco Allegro
The Varieties of Religious Experience,William James
LSD Psychotherapy (The Healing Potential Potential of Psychedelic Medicine),Stanislav Grof
The Doors of Perception,Aldous Huxley
The Whole Earth Catalog,Stewart Brand
"Food of the Gods: The Search for the Original Tree of Knowledge A Radical History of Plants, Drugs, and Human Evolution",Terence McKenna
books ,Zecharia Sitchin
"Human Heart, Cosmic Heart: A Doctor’s Quest to Understand, Treat, and Prevent Cardiovascular Disease","Thomas Cowan, MD"
books ,Pavel Tsatsouline
The Book of Five Rings,Miyamoto Musashi
The Lucifer Principle: A Scientific Expedition into the Forces of History,Howard Bloom
Yanomamo: The Fierce People,Napoleon A. Chagnon
(unspecified book),Albert Einstein
How I Accidentally Started The Sixties,Howard Bloom
"The Muhammad Code: How a Desert Prophet Brought You ISIS, al Qaeda, and Boko Haram",Howard Bloom
The Varieties of Religious Experience,William James
The God Problem: How a Godless Cosmos Creates,Howard Bloom
Principles of Geology,Charles Lyell
The Origin of Species,Charles Darwin
books ,Dave Barry
books ,P.G. Wodehouse
On the Road,Jack Kerouac
The Electric Kool-Aid Acid Test,Tom Wolfe
The Idiot,Fyodor Dostoevsky
Conversations With God,Neale Donald Walsch
"Our Towns: A 100,000-Mile Journey into the Heart of America",James Fallows & Deborah Fallows
The Human Advantage: A New Understanding of How Our Brain Became Remarkable,Suzana Herculano-Houzel
The Life of the Cosmos,Lee Smolin
books ,Stephen King
(unspecified book),Ram Dass
Does the Noise in My Head Bother You?: A Rock ‘n’ Roll Memoir,Steven Tyler
Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,Melody Beattie
books ,Graham Hancock
Hominids: Volume One of The Neanderthal Parallax,Robert J. Sawyer
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker
The Business Secrets of Drug Dealing,Matt Taibbi & Anonymous
books ,Dashiell Hammett
books ,Raymond Chandler
Black Mask Stories,Various Authors
books ,Iceberg Slim
